guid,title
12353,Phantom Fighter
12354,Pictionary
12005,Pinball
12356,Pinball Quest
12355,Pin-Bot
12357,Pipe Dream
9558,Pirates
12358,Platoon
9566,Play Action Football
12359,Popeye
12350,POW
9574,Power Blade
9575,Power Blade 2
13715,Power Glove
13761,Power Pad
9577,Power Punch II
19390,P'radikus Conflict
12360,Predator
9584,Prince of Persia
12361,Princess Tomato in the Salad Kingdom
9592,Pro Sports Hockey
12362,Pro Wrestling
12006,Punch-Out
16272,Punch-Out Special Edition
12364,Puss N' Boots: Pero's Great Adventure
12365,Puzzle
12366,Puzznic
12367,Pyramid
9608,Pyross
12368,Q*bert
12369,Qix
12371,Quattro Adventure
19308,Quattro Arcade
12372,Quattro Sports
21024,Quickshot Joystick
16260,Quickshot Sighting Scope
9615,Race America
30824,Racermate Challenge II
12376,Racket Attack
12377,Rad Gravity
12378,Rad Racer
12379,Rad Racer II
30982,Rad Racket
12380,Raid 2020
12381,Raid on Bungeling Bay
12382,Rainbow Islands
12383,Rally Bike
12384,Rambo
12385,Rampage
9624,Rampart
9635,RBI Baseball
12373,RBI Baseball 2
12374,RBI Baseball 3
12375,RC Pro-AM
9639,RC Pro-AM II
12386,Remote Control
9648,Ren and Stimpy Show Buckeroos
12387,Renegade
12388,Rescue the Embassy Mission
12389,Ring King
12390,River City Ransom
12392,RoadBlasters
31545,Road Fighter
12391,Road Runner
9669,Robin Hood Prince of Thieves
12394,Robocop
9671,Robocop 2
9673,Robocop 3
16141,Robodemons
12393,Robo Warrior
12396,Rocket Ranger
9678,Rockin' Kats
12395,Rock 'n Ball
16171,Rodland PAL
9681,Roger Clemens' MVP Baseball
12398,Rollerball
9682,Rollerblade Racer
12397,Roller Games
12399,Rolling Thunder
12400,Romance of the Three Kingdoms
12401,Romance of the Three Kingdoms II
9687,Roundball 2-on-2 Challenge
12402,Rush'n Attack
12403,Rygar
9697,SCAT Special Cybernetic Attack Team
12404,Secret Scout
12405,Section Z
12406,Seicross
13827,Sesame Street 123
9720,Sesame Street 123 and ABC
12408,Sesame Street ABC
12409,Sesame Street Big Bird's Hide and Speak
9721,Sesame Street Countdown
12411,Shadowgate
12410,Shadow of the Ninja
9729,Shatterhand
12412,Shingen the Ruler
12413,Shinobi
12414,Shockwave
12415,Shooting Range
12416,Short Order/Eggsplode
12417,Side Pocket
12418,Silent Assault
12419,Silent Service
12420,Silk Worm
12421,Silver Surfer
9749,SimCity
12422,Skate or Die
12423,Skate or Die 2
12424,Ski or Die
12425,Skull and Crossbones
12426,Sky Kid
12427,Sky Shark
12428,Slalom
9764,Smash TV
12429,Snake Rattle n Roll
9765,Snake's Revenge
12430,Snoopy Silly Sports
9768,Snow Brothers
12007,Soccer
12431,Solar Jetman
12432,Solitaire
12008,Solomon's Key
9776,Solstice
12433,Space Invaders
9803,Space Shuttle
12434,Spelunker
10594,Spiderman Return of the Sinister Six
12436,Spiritual Warfare
9830,Spot
12437,Spy Hunter
9832,Spy vs. Spy
12438,Sqoon
16127,Stack Up
9839,Stanley The Search for Dr Livingston
12439,Star Force
12441,Starship Hector
12009,Star Soldier
9842,Star Trek 25th Anniversary
9847,Star Trek The Next Generation
9848,Star Tropics
10238,Star Tropics II: Zoda's Revenge
12440,Star Voyager
9849,Star Wars
9857,Star Wars The Empire Strikes Back
18720,Stealth
12443,Stinger
12444,Street Cop
12445,Street Fighter 2010 the Final Fight
12446,Strider
12447,Stunt Kids
19476,Sunday Funday
9883,Super C
12448,Super Cars
12449,Super Dodge Ball
12450,Super Glove Ball
12458,Superman
9889,Super Mario Bros
12010,Super Mario Bros 2
9890,Super Mario Bros 2 The Lost Levels
9891,Super Mario Bros 3
12451,Super Mario Bros and Duck Hunt
12452,Super Mario Bros Duck Hunt World Class Track Meet
12453,Super Off-Road
12454,Super Pitfall
9898,Super Spike Volleyball
12455,Super Spike Volleyball and World Cup Soccer
12456,Super Sprint
9899,Super Spy Hunter
12457,Super Team Games
9913,Swamp Thing
19306,Sword Master
12459,Swords and Serpents
12462,Taboo the Sixth Sense
30846,Tagin' Dragon
12463,Tag Team Wrestling
12162,TaleSpin
12465,Talking Super Jeopardy
12466,Target Renegade
12467,Tecmo Baseball
9929,Tecmo Bowl
9930,Tecmo Cup Soccer
9931,Tecmo NBA Basketball
9934,Tecmo Super Bowl
9938,Tecmo World Wrestling
9941,Teenage Mutant Ninja Turtles
9942,Teenage Mutant Ninja Turtles III The Manhattan Project
12468,Teenage Mutant Ninja Turtles II the Arcade Game
9944,Teenage Mutant Ninja Turtles Tournament Fighters
12595,Tengen Tetris
12011,Tennis
9951,Terminator
9953,Terminator 2 Judgement Day
12469,Terra Cresta
9964,Tetris
9966,Tetris 2
8471,The Adventures of Rocky and Bullwinkle and Friends
12471,The Goonies II
12472,The Guardian Legend
9990,The Jungle Book
12474,The Karate Kid
12475,The Last Ninja
12477,The Mafat Conspiracy
12478,The Magic of Scheherazade
9997,The Punisher
9677,The Rocketeer
9751,The Simpsons Bart Meets Radioactive Man
12479,The Simpsons Bart vs the Space Mutants
12197,The Simpsons Bart vs the World
12480,The Three Stooges
12482,The Uncanny X-Men
10008,Thomas the Tank Engine
12484,Thunder and Lightning
12485,Thunderbirds
12486,Thundercade
12487,Tiger-Heli
12488,Tiles of Fate
12489,Time Lord
10020,Times of Lore
10021,Tiny Toon Adventures
10022,Tiny Toon Adventures 2 Trouble in Wackyland
10024,Tiny Toon Adventures Cartoon Workshop
12491,Toki
10035,Tom and Jerry
12492,Tombs and Treasure
12493,Toobin'
12494,Top Gun
10052,Top Gun The Second Mission
13883,Top Loading Nintendo NES Console
12495,Top Players Tennis
12496,Totally Rad
10053,Total Recall
12490,To the Earth
12497,Touchdown Fever
12483,Town & Country II: Thrilla's Surfari
12461,Town & Country Surf Designs: Wood and Water Rage
10056,Toxic Crusaders
12498,Track and Field
12499,Track and Field II
10064,Treasure Master
10068,Trog
12500,Trojan
10069,Trolls in Crazyland
12501,Trolls on Treasure Island
12502,Twin Cobra
12503,Twin Eagle
10079,Uforia The Saga
16293,Ufouria
12504,Ultima Exodus
12505,Ultima Quest of the Avatar
10081,Ultimate Air Combat
12506,Ultimate Basketball
12507,Ultimate League Soccer
12481,Ultimate Stuntman
10080,Ultima Warriors of Destiny
10090,Uncharted Waters
10091,Uninvited
10096,Untouchables
12012,Urban Champion
12508,Vegas Dream
12509,Venice Beach Volleyball
12510,Vice Project Doom
10105,Videomation
12511,Vindicators
12013,Volleyball
10132,Wacky Races
10133,Wall Street Kid
12513,Wally Bear and the No Gang
10138,Wario's Woods
12514,Wayne Gretzky Hockey
10146,Wayne's World
12512,WCW World Championship Wrestling
12515,Werewolf
12517,Wheel of Fortune
12516,Wheel of Fortune Family Edition
10149,Wheel of Fortune Featuring Vanna White
12518,Wheel of Fortune Junior Edition
10152,Where in Time is Carmen Sandiego
12519,Where's Waldo
12520,Who Framed Roger Rabbit
12521,Whomp 'Em
10154,Widget
12522,Wild Gunman
12523,Willow
12524,Win Lose or Draw
12525,Winter Games
10166,Wizardry: Knight of Diamonds Second Scenario
19592,Wizardry: Proving Grounds of the Mad Overlord
12528,Wizards and Warriors
10167,Wizards and Warriors III Kuros Visions of Power
10169,Wolverine
10172,World Champ
12530,World Class Track Meet
12532,World Games
12533,Wrath of the Black Manta
12014,Wrecking Crew
10208,Wurm Journey to the Center of the Earth
10214,WWF King of the Ring
10221,WWF Wrestlemania
13833,WWF Wrestlemania Challenge
10218,WWF Wrestlemania Steel Cage Challenge
12534,Xenophobe
12015,Xevious
12535,Xexyz
12536,Yo Noid
10228,Yoshi
10229,Yoshi's Cookie
10230,Young Indiana Jones Chronicles
12016,Zanac
13716,Zapper Light Gun
10234,Zelda II The Adventure of Link
20786,Zelda Test Cartridge
10236,Zen Intergalactic Ninja
10239,Zombie Nation
