uid,Product Name,Genre,UPC,ASIN,Release Date,Publisher,Sell Game Price,Sell Complete Price
12155,Destination Earthstar,Other,21481102076,B00004SVOV,2/1/90,LJN,1.99,4.99
12156,Destiny of an Emperor,Action & Adventure,13388110230,B00004SVOW,9/1/90,Capcom,11.99,17
16134,Devil World,Action & Adventure,,,,,104.99,127
12157,Dick Tracy,Action & Adventure,45557072704,B00004SVOX,1/1/90,Bandai,1.99,4.99
8841,Die Hard,Action & Adventure,47875700116,B00004SVXN,5/1/92,ACTIVISION,49.99,62
12158,Dig Dug,Action & Adventure,4.7311E+11,B000B6AP3U,6/4/85,,7.99,12
12159,Dig Dug II,Action & Adventure,15500183689,B000PE2GU8,12/1/89,Bandai,4.99,8
12160,Digger T Rock,Action & Adventure,32244041983,B00126Y1W4,12/1/90,Milton Bradley,6.99,11
12161,Dirty Harry,Action & Adventure,50047104803,B00004SVOZ,12/1/90,Mindscape,1.99,5
21555,Dogbone Controller,Controllers,8.13048E+11,B0034ZU72E,2/1/10,,6.99,10
11985,Donkey Kong,Action & Adventure,6.30423E+11,B000E7K28Y,6/1/86,Nintendo,28.99,37
12163,Donkey Kong 3,Action & Adventure,41545304925,B000H58VBS,6/1/86,Nintendo,9.99,14
12164,Donkey Kong Classics,Action & Adventure,45496630423,B0006TNCWI,10/1/88,Nintendo,11.99,16
11986,Donkey Kong Jr,Action & Adventure,7.31069E+11,B000E7K30G,6/1/86,Nintendo,7.99,12
11987,Donkey Kong Jr Math,Other,,B000E7O0A0,10/1/85,Nintendo,36.99,46
12167,Double Dare,Action & Adventure,43948590004,B00004SVP0,1/1/90,GT Interactive,3.99,7
12207,Double Dragon,Action & Adventure,31719198832,B000E7FTPA,6/1/88,Nintendo,5.99,10
12208,Double Dragon II,Action & Adventure,4.75E+11,B000EUTNVS,1/1/90,Virtual Sports Inc.,6.99,11
12209,Double Dragon III,Action & Adventure,21481106050,B00004SVP1,2/1/91,LJN,7.99,12
11988,Double Dribble,Basketball,83717110057,B00004SVP2,9/1/87,Konami,1.99,4.99
12210,Double Strike,Action & Adventure,,B000P6M192,1/1/90,,5.99,9
8864,Dragon Fighter,Action & Adventure,93295913018,B00004SVP5,1/1/92,Sofel,97.99,119
12213,Dragon Power,Action & Adventure,,B000VJWHY2,3/1/88,Bandai,1.99,5
12217,Dragon's Lair the Legend,Action & Adventure,90451104020,B00004SVP9,,Sony,7.99,11
12214,Dragon Spirit,Action & Adventure,,B001ASD7MY,12/1/89,,2.99,5
12216,Dragon Warrior,RPG,,B0002ST1YQ,12/1/90,Nintendo,2.99,6
12215,Dragon Warrior II,RPG,7.19631E+11,B00004SVYR,9/1/90,Enix,23.99,30
8868,Dragon Warrior III,RPG,7.19631E+11,B00004SVP7,6/1/92,Enix,45.99,57
8869,Dragon Warrior IV,RPG,7.19631E+11,B00004SVP8,12/1/92,Enix,55.99,68
12211,Dr Chaos,Action & Adventure,22909100032,B00004SVP3,1/1/88,FCI,2.99,5
12212,Dr Jekyl and Mr Hyde,Action & Adventure,45557071004,B0009PUB9G,4/1/89,Bandai,5.99,9
8859,Dr. Mario,Puzzle,45496630621,B00004SVXP,1/1/90,Nintendo,2.99,5
16132,Dropzone,Action & Adventure,,,,,25.99,33
12218,Duck Hunt,Other,79522653056,B0012GWQPI,4/1/84,,1.99,4.99
30823,Duck Maze,Action & Adventure,,,,,29.99,38
12219,Duck Tales,Action & Adventure,13388110162,B00004SVPA,9/1/89,Capcom,21.99,28
8878,Duck Tales 2,Action & Adventure,13388110360,B00004SVPB,10/1/93,Capcom,109.99,133
12220,Dudes with Attitude,Action & Adventure,21619110102,B001V9VI1O,,,8.99,13
12221,Dungeon Magic,RPG,20588010239,B00004SVPC,11/10/89,Taito,1.99,4.99
12222,Dusty Diamond's All-Star Softball,Baseball,,B0012ROO6Q,,Broderbund,37.99,47
8889,Dynowarz The Destruction of Spondylus,Action & Adventure,45557072209,B00004SVOY,4/1/90,Bandai,1.99,4.99
11989,Elevator Action,Puzzle,20588010017,B000GBMGLY,,Taito,1.99,4.99
8906,Eliminator Boat Duel,Racing,99451030643,B00147TAOU,11/1/91,,6.99,10
