guid,title,ASIN,Cart Price,Complete Price,Genre,UPC,Publisher,Release Date
12220,Dudes with Attitude,B001V9VI1O,8.99,13,Action & Adventure,21619110102,,
12221,Dungeon Magic,B00004SVPC,1.99,4.99,RPG,20588010239,Taito,11/10/89
12222,Dusty Diamond's All-Star Softball,B0012ROO6Q,37.99,47,Baseball,,Broderbund,
8889,Dynowarz The Destruction of Spondylus,B00004SVOY,1.99,4.99,Action & Adventure,45557072209,Bandai,4/1/90
11989,Elevator Action,B000GBMGLY,1.99,4.99,Puzzle,20588010017,Taito,
8906,Eliminator Boat Duel,B00147TAOU,6.99,10,Racing,99451030643,,11/1/91
30844,Elite,B000EUTMVO,54.99,67,Action & Adventure,4.75E+11,,
11990,Excitebike,B0009KQMZI,3.99,7,Racing,7.52492E+11,Nintendo,10/1/85
12223,Exodus Journey to the Promised Land,B001VA4UFY,5.99,9,RPG,,,1/1/91
8928,F-117A Stealth Fighter,B00004SVPD,7.99,12,Other,19703157300,BPS,12/1/92
19760,F-15 City War,B0009PX7HY,4.99,8,Action & Adventure,21619110010,,
8929,F-15 Strike Eagle,B00004SVPE,4.99,8,Action & Adventure,19703150202,Romstar,11/1/92
8935,Family Feud,B00004SVPF,7.99,11,Other,43948560007,GT Interactive,5/1/91
12224,Family Fun Fitness Stadium Events,,2729.99,3252,Sports,,,
20424,Family Fun Fitness Stadium Events PAL,,589.99,704,Action & Adventure,,,
12225,Fantastic Adventures of Dizzy,B000BYIK84,7.99,12,Action & Adventure,,Camerica,
12226,Fantasy Zone,B00004SVPG,10.99,16,Action & Adventure,31763103127,Midway Entertainment,1/1/89
8939,Faria,B00004SVPH,38.99,48,RPG,93992010508,ASCII,6/1/91
12227,Fast Break,B000B6E2TI,1.99,4.99,Basketball,4.7311E+11,Accolade,3/1/94
12228,Fatal Fury Special,,1.99,4.99,Fighting,,,
13717,Faxanadu,B00081RQ08,2.99,5,Action & Adventure,45496630485,Hudson Soft,8/1/89
8948,Felix the Cat,B00004SVPJ,35.99,45,Action & Adventure,39854000171,Hudson Soft,10/1/92
8949,Ferrari Grand Prix Challenge,B00004SVPK,2.99,6,Racing,21481107026,LJN,6/1/92
8950,Fester's Quest,B00004SVPL,1.99,4.99,Action & Adventure,20763110075,Sunsoft,10/1/89
8970,Final Fantasy,B00004SVXQ,14.99,20,RPG,45496630607,Nintendo,10/1/90
12229,Firehawk,B000HNPNXY,3.99,6,Action & Adventure,11161169666,Camerica,1/1/91
8975,Fire 'N Ice,B00004SVPM,95.99,116,Puzzle,18946110172,Tecmo,1/1/92
8976,Fisher-Price Firehouse Rescue,B00004SVPN,8.99,13,Action & Adventure,43948500065,GT Interactive,3/1/92
12230,Fisher Price I Can Remember,B000ILF1X2,1.99,4.99,Other,43948500034,GameTek,1/1/90
12231,Fisher Price Perfect Fit,B001VHAQ9Q,2.99,5,Other,43948500027,,
12232,Fist of the North Star,B000AAELKA,8.99,12,Fighting,40886536996,Taxan,1/1/89
8981,Flight of the Intruder,B00004SVPO,3.99,7,Action & Adventure,50047105015,Mindscape,5/1/91
